id|name|brand|details|price|size|is_by_weight
1966|BEBIDA ISOTONICA NARANJA| AQUARIUS|https://www.telecompra.mercadona.es/detall_producte.php?id=29624|0.79| LATA 330 ML|false
1967|BEBIDA ISOTONICA NARANJA, AQUARIUS| BOTELLA 1|https://www.telecompra.mercadona.es/detall_producte.php?id=29609|1.75|5 L|false
1968|BEBIDA ISOTONICA NARANJA| AQUARIUS|https://www.telecompra.mercadona.es/detall_producte.php?id=29604|5.92| LATA PACK 8 X 330 ML - 2640 ML|false
1969|BEBIDA ISOTONICA NARANJA| HACENDADO|https://www.telecompra.mercadona.es/detall_producte.php?id=28690|2.04| LATA PACK 6 X 330 ML - 1980 ML|false
1970|BEBIDA ISOTONICA NARANJA, HACENDADO| BOTELLA 1|https://www.telecompra.mercadona.es/detall_producte.php?id=28688|0.85|5 L|false
1971|BEBIDA ISOTONICA NARANJA| HACENDADO|https://www.telecompra.mercadona.es/detall_producte.php?id=28689|0.34| LATA 330 ML|false
1972|BEBIDA ISOTONICA POWERADE ICE STORM (BOTELLA AZUL)| COCA COLA|https://www.telecompra.mercadona.es/detall_producte.php?id=27491|1.2| BOTELLA 500 ML|false
1973|BEBIDA ISOTONICA RED| HACENDADO|https://www.telecompra.mercadona.es/detall_producte.php?id=28577|0.5| BOTELLA 500 ML|false
1974|BEBIDA ISOTONICA SOLUBLE SABOR LIMON PARA DEPORTISTAS (EN SOBRES)| ENERVITSPORT|https://www.telecompra.mercadona.es/detall_producte.php?id=28314|4.5| PAQUETE 10 U - 150 G|false
1975|CREMA LIMONCELLO| |https://www.telecompra.mercadona.es/detall_producte.php?id=28533|6.3| BOTELLA 700 ML|false
1976|LICOR CREMA FRESA| ROYAL SWAN|https://www.telecompra.mercadona.es/detall_producte.php?id=22614|6.3| BOTELLA 700 ML|false
1977|LICOR CREMA IRLANDESA| ROYAL SWAN|https://www.telecompra.mercadona.es/detall_producte.php?id=28571|5.3| BOTELLA 700 ML|false
1978|LICOR CREMA ORUJO| PUENTE PAZOS|https://www.telecompra.mercadona.es/detall_producte.php?id=28506|5.69| BOTELLA 700 ML|false
1979|LICOR CREMA TURRON| ROYAL SWAN|https://www.telecompra.mercadona.es/detall_producte.php?id=29381|6| BOTELLA 700 ML|false
1980|PONCHE| C. DE BACO|https://www.telecompra.mercadona.es/detall_producte.php?id=28223|7.5| BOTELLA 1 L|false
1981|AGUARDIENTE DE ORUJO| PUENTE PAZOS|https://www.telecompra.mercadona.es/detall_producte.php?id=28507|6.75| BOTELLA 700 ML|false
1982|LICOR AMARETTO| PATRIARCA|https://www.telecompra.mercadona.es/detall_producte.php?id=28432|4.8| BOTELLA 700 ML|false
1983|LICOR CAFE| PUENTE PAZOS|https://www.telecompra.mercadona.es/detall_producte.php?id=28501|6| BOTELLA 700 ML|false
1984|LICOR HIERBAS| JÄGERMEISTER|https://www.telecompra.mercadona.es/detall_producte.php?id=28724|12| BOTELLA 700 ML|false
1985|LICOR HIERBAS| PUENTE PAZOS|https://www.telecompra.mercadona.es/detall_producte.php?id=28508|5.69| BOTELLA 700 ML|false
1986|LICOR LIMONCELLO| FRANZINI|https://www.telecompra.mercadona.es/detall_producte.php?id=28335|6| BOTELLA 700 ML|false
1987|LICOR ORUJO CON MIEL| PUENTE PAZOS|https://www.telecompra.mercadona.es/detall_producte.php?id=28545|7.3| BOTELLA 700 ML|false
1988|LICOR PIRULETA| PIOMKA|https://www.telecompra.mercadona.es/detall_producte.php?id=28439|5.4| BOTELLA 700 ML|false
1989|LICOR| 43|https://www.telecompra.mercadona.es/detall_producte.php?id=28348|14| BOTELLA 700 ML|false
1990|LICOR| COINTREAU|https://www.telecompra.mercadona.es/detall_producte.php?id=22692|12| BOTELLA 500 ML|false
1991|PACHARAN| GURE|https://www.telecompra.mercadona.es/detall_producte.php?id=28385|7.5| BOTELLA 1 L|false
1992|GINEBRA SIN ALCOHOL| TANQUERAY|https://www.telecompra.mercadona.es/detall_producte.php?id=23107|12.6| BOTELLA 700 ML|false
1993|LICOR SIN ALCOHOL MANZANA VERDE| PIOMKA|https://www.telecompra.mercadona.es/detall_producte.php?id=13611|2.5| BOTELLA 700 ML|false
1994|LICOR SIN ALCOHOL MORA| PIOMKA|https://www.telecompra.mercadona.es/detall_producte.php?id=13610|2.5| BOTELLA 700 ML|false
1995|MOJITO SIN ALCOHOL| PIOMKA|https://www.telecompra.mercadona.es/detall_producte.php?id=28489|4| BOTELLA 700 ML|false
1996|PIÑA COLADA SIN ALCOHOL| PIOMKA|https://www.telecompra.mercadona.es/detall_producte.php?id=28490|4| BOTELLA 700 ML|false
1997|BITTER SIN ALCOHOL| KAS|https://www.telecompra.mercadona.es/detall_producte.php?id=28435|0.95| LATA 330 ML|false
1998|BITTER SIN ALCOHOL| KAS|https://www.telecompra.mercadona.es/detall_producte.php?id=28433|4.89| BOTELLIN PACK 6 X 200 ML - 1200 ML|false
1999|COLA LIGHT| COCA-COLA|https://www.telecompra.mercadona.es/detall_producte.php?id=27441|1.84| BOTELLA 2 L|false
2000|COLA LIGHT| COCA-COLA|https://www.telecompra.mercadona.es/detall_producte.php?id=27656|9.12| LATA PACK 12 X 330 ML - 3960 ML|false
2001|COLA LIGHT| COCA-COLA|https://www.telecompra.mercadona.es/detall_producte.php?id=27406|0.78| LATA 330 ML|false
2002|COLA NORMAL ***PACK AHORRO***| COCA-COLA|https://www.telecompra.mercadona.es/detall_producte.php?id=28113|3.96| BOTELLA PACK 4 X 500 ML - 2 L|false
2003|COLA NORMAL| COCA-COLA|https://www.telecompra.mercadona.es/detall_producte.php?id=28181|1| BOTELLA 1250 ML|false
2004|COLA NORMAL| COCA-COLA|https://www.telecompra.mercadona.es/detall_producte.php?id=29360|1.2| BOTELLA 500 ML|false
2005|COLA NORMAL| COCA-COLA|https://www.telecompra.mercadona.es/detall_producte.php?id=27321|9.12| LATA PACK 12 X 330 ML - 3960 ML|false
2006|COLA NORMAL| COCA-COLA|https://www.telecompra.mercadona.es/detall_producte.php?id=27348|3.52| PACK 2 X 2 L - 4 L|false
2007|COLA NORMAL| COCA-COLA|https://www.telecompra.mercadona.es/detall_producte.php?id=27326|0.78| LATA 330 ML|false
2008|COLA NORMAL| COCA-COLA|https://www.telecompra.mercadona.es/detall_producte.php?id=27342|1.84| BOTELLA 2 L|false
2009|COLA NORMAL| HACENDADO|https://www.telecompra.mercadona.es/detall_producte.php?id=29059|0.4| BOTELLA 500 ML|false
2010|COLA NORMAL| HACENDADO|https://www.telecompra.mercadona.es/detall_producte.php?id=29072|0.61| BOTELLA 2 L|false
2011|COLA NORMAL| HACENDADO|https://www.telecompra.mercadona.es/detall_producte.php?id=29084|2.4| BOTELLIN PACK 6 X 500 ML - 3000 ML|false
2012|COLA NORMAL| HACENDADO|https://www.telecompra.mercadona.es/detall_producte.php?id=29031|1.56| LATA PACK 6 X 330 ML - 1980 ML|false
2013|COLA NORMAL| HACENDADO|https://www.telecompra.mercadona.es/detall_producte.php?id=29032|0.26| LATA 330 ML|false
2014|COLA NORMAL| PEPSI|https://www.telecompra.mercadona.es/detall_producte.php?id=23894|1.46| BOTELLA 1750 ML|false
2015|COLA NORMAL| PEPSI|https://www.telecompra.mercadona.es/detall_producte.php?id=27660|7.2| LATA PACK 12 X 330 ML - 3960 ML|false
2016|COLA NORMAL| PEPSI|https://www.telecompra.mercadona.es/detall_producte.php?id=27493|0.64| LATA 330 ML|false
2017|COLA SIN CAFEINA| COCA-COLA|https://www.telecompra.mercadona.es/detall_producte.php?id=27446|1.84| BOTELLA 2 L|false
2018|COLA SIN CAFEINA| COCA-COLA|https://www.telecompra.mercadona.es/detall_producte.php?id=27424|0.78| LATA 330 ML|false
2019|COLA ZERO (AZUCAR) ZERO (CAFEINA)| HACENDADO|https://www.telecompra.mercadona.es/detall_producte.php?id=29035|1.56| LATA PACK 6 X 330 ML - 1980 ML|false
2020|COLA ZERO (AZUCAR) ZERO (CAFEINA)| HACENDADO|https://www.telecompra.mercadona.es/detall_producte.php?id=29074|0.61| BOTELLA 2 L|false
2021|COLA ZERO (AZUCAR) ZERO (CAFEINA)| HACENDADO|https://www.telecompra.mercadona.es/detall_producte.php?id=29036|0.26| LATA 330 ML|false
2022|COLA ZERO (CALORIAS) ZERO (CAFEINA)| COCA-COLA|https://www.telecompra.mercadona.es/detall_producte.php?id=28180|3.52| PACK 2 X 2 L - 4 L|false
2023|COLA ZERO (CALORIAS) ZERO (CAFEINA)| COCA-COLA|https://www.telecompra.mercadona.es/detall_producte.php?id=26997|9.12| LATA PACK 12 X 330 ML - 3960 ML|false
2024|COLA ZERO (CALORIAS) ZERO (CAFEINA)| COCA-COLA|https://www.telecompra.mercadona.es/detall_producte.php?id=27462|1.84| BOTELLA 2 L|false
2025|COLA ZERO (CALORIAS) ZERO (CAFEINA)| COCA-COLA|https://www.telecompra.mercadona.es/detall_producte.php?id=27559|0.78| LATA 330 ML|false
2026|COLA ZERO ***PACK AHORRO***| COCA-COLA|https://www.telecompra.mercadona.es/detall_producte.php?id=28115|3.96| BOTELLA PACK 4 X 500 ML - 2 L|false
2027|COLA ZERO MAX| PEPSI|https://www.telecompra.mercadona.es/detall_producte.php?id=23898|1.46| BOTELLA 1750 ML|false
2028|COLA ZERO MAX| PEPSI|https://www.telecompra.mercadona.es/detall_producte.php?id=23502|5.4| LATA PACK 9 X 330 ML - 2970 ML|false
2029|COLA ZERO MAX| PEPSI|https://www.telecompra.mercadona.es/detall_producte.php?id=28268|0.64| LATA 330 ML|false
2030|COLA ZERO| COCA-COLA|https://www.telecompra.mercadona.es/detall_producte.php?id=27414|0.78| LATA 330 ML|false
2031|COLA ZERO| COCA-COLA|https://www.telecompra.mercadona.es/detall_producte.php?id=27449|3.52| PACK 2 X 2 L - 4 L|false
2032|COLA ZERO| COCA-COLA|https://www.telecompra.mercadona.es/detall_producte.php?id=27426|9.12| LATA PACK 12 X 330 ML - 3960 ML|false
2033|COLA ZERO| COCA-COLA|https://www.telecompra.mercadona.es/detall_producte.php?id=29361|1.2| BOTELLA 500 ML|false
2034|COLA ZERO| COCA-COLA|https://www.telecompra.mercadona.es/detall_producte.php?id=27445|1.84| BOTELLA 2 L|false
2035|COLA ZERO, COCA-COLA| BOTELLA 1|https://www.telecompra.mercadona.es/detall_producte.php?id=13816|1|25 L|false
2036|COLA ZERO| HACENDADO|https://www.telecompra.mercadona.es/detall_producte.php?id=29061|0.4| BOTELLA 500 ML|false
2037|COLA ZERO| HACENDADO|https://www.telecompra.mercadona.es/detall_producte.php?id=29034|0.26| LATA 330 ML|false
2038|COLA ZERO| HACENDADO|https://www.telecompra.mercadona.es/detall_producte.php?id=29085|2.4| BOTELLIN PACK 6 X 500 ML - 3000 ML|false
2039|COLA ZERO| HACENDADO|https://www.telecompra.mercadona.es/detall_producte.php?id=29073|0.61| BOTELLA 2 L|false
2040|COLA ZERO| HACENDADO|https://www.telecompra.mercadona.es/detall_producte.php?id=29033|1.56| LATA PACK 6 X 330 ML - 1980 ML|false
2041|GASEOSA| HACENDADO|https://www.telecompra.mercadona.es/detall_producte.php?id=27973|0.26| BOTELLA 1500 ML|false
2042|GASEOSA| HACENDADO|https://www.telecompra.mercadona.es/detall_producte.php?id=27971|0.2| BOTELLIN 500 ML|false
2043|GASEOSA| HACENDADO|https://www.telecompra.mercadona.es/detall_producte.php?id=27972|1.2| BOTELLIN PACK 6 X 500 ML - 3000 ML|false
2044|GASEOSA| LA CASERA|https://www.telecompra.mercadona.es/detall_producte.php?id=27735|1.1| BOTELLA 1500 ML|false
2045|GASEOSA| LA CASERA|https://www.telecompra.mercadona.es/detall_producte.php?id=27733|1.96| BOTELLA PACK 2 X 1500 ML - 3 L|false
2046|SIFON DE MESA| LA CASA|https://www.telecompra.mercadona.es/detall_producte.php?id=27203|1.34| BOTELLA 1500 ML|false
